FORMAT	AM_LIVE_DEMO_OBJECT_LABEL_WRITE_V1
EXPECTED_OPERATION_COUNT	12
EXPECTED_COLOUR	Yellow
AUTHORIZATION_STATUS	AUTHORIZED
PRE_CAPTURE_REPORTED_COUNT	8
PRE_CAPTURE_ACTUAL_COUNT	8
PRE_ALREADY_PRESENT_COUNT	0
PRE_MISSING_COUNT	12
PRE_DUPLICATE_TEXT_COUNT	0
PRE_INSPECTION_ERROR_COUNT	0
USER_CONFIRMATION	YES
AUTHORIZATION_CONSUMED	1
OPERATION_ID	STABLE_OBJECT_ID	TEXT	X	Y	HEIGHT	RESULT
label:LB-01	LB-01	LB-01	110	250	3.5	CREATED
label:LB-02	LB-02	LB-02	110	216.5	3.5	CREATED
label:LL-01	LL-01	LL-01	252	242	3.5	CREATED
label:LL-02	LL-02	LL-02	307	242	3.5	CREATED
label:LL-03	LL-03	LL-03	365	240	3.5	CREATED
label:PF-01	PF-01	PF-01	55	119	3.5	CREATED
label:PF-02	PF-02	PF-02	115	115	3.5	CREATED
label:PF-03	PF-03	PF-03	170	111	3.5	CREATED
label:PF-SIDE-01	PF-SIDE-01	PF-SIDE-01	56	58	3.5	CREATED
label:SF-01	SF-01	SF-01	268	128	3.5	CREATED
label:SF-02	SF-02	SF-02	342	128	3.5	CREATED
label:SF-03	SF-03	SF-03	381	118	3.5	CREATED
CREATED_COUNT	12
FAILED_COUNT	0
POST_CAPTURE_REPORTED_COUNT	20
POST_CAPTURE_ACTUAL_COUNT	20
POST_VALID_LABEL_COUNT	12
POST_MISSING_COUNT	0
POST_DUPLICATE_COUNT	0
POST_PROPERTY_ERROR_COUNT	0
POST_INSPECTION_ERROR_COUNT	0
DRAWING_WRITE_PERFORMED	1
DRAWING_WRITE_COUNT	12
STATUS	SUCCESS
